leaf_sample	species	assoc_soil_sample	soil_type	C_leaf	N_leaf	Ca_leaf	Mg_leaf	Na_leaf	K_leaf	P_leaf	Cr_leaf	Fe_leaf	Mn_leaf	Ni_leaf	Al_leaf	Cu_leaf	Zn_leaf	S_leaf	Pb_leaf	Co_leaf	Cd_leaf	Mo_leaf	assoc_leaf_sample	H2O_pH_soil	Kcl_pH_soil	C_soil	N_soil	Ca_soil	Mg_soil	Na_soil	K_soil	P_soil	Cr_soil	Fe_soil	Mn_soil	Ni_soil	Al_soil	Cu_soil	Zn_soil	S_soil	Pb_soil	Co_soil	Cd_soil	Mo_soil
umb1166	umb	umb1166	ult	424.7	8.53	19.2	2.36	1.42	9.15	241	2	71.66	257.6	54.91	5	1.06	4.81	1426	0.9	0.5	0.14	0.62	1166	6.13	5.71	102.2	7.13	4756	12059	148	151	162	15804	353973	5606	8019	21436	16	227	633	47.5	702	3	5
vei1015	vei	vei1015	sed	443.8	13.13	28.34	3.64	0.29	10.86	622	1	56.2	28.17	2.72	18.63	3.41	9.17	1829	0.9	0.14	0.1	0.9	1015	6.7	6.03	47.72	3.87	5975	5112	8555	12574	331	86.1	31055	610	144	57471	24	41.5	403	20	23.4	1	4
vei1016	vei	vei1016	sed	438.8	15.72	12.38	2.58	0.38	18.2	1213	500	41.2	19.66	5.42	14.38	4.44	11.3	1600	0.9	0.14	0.1	0.9	1016	6	5.36	47.46	3.86	4869	4699	8766	12726	254	156	33305	376	101	58276	21.9	46.5	460	20	23.6	1	4
vei1017	vei	vei1017	sed	445.8	16.48	22.03	2.99	0.2	14.55	1031	692	54.12	23.58	4.67	13.97	3.36	11.44	2115	0.9	0.14	0.1	0.9	1017	5.99	5.29	43.74	3.52	4747	4472	8276	12769	277	76.2	31189	414	107	58845	23.6	42.6	498	20	22.8	1	4
vei1018	vei	vei1015	sed	439.3	17.44	9.36	2.48	0.65	22.7	1425	688	48.6	14.84	6.27	16.92	3.88	13.45	1759	0.9	0.14	0.1	4	1015	6.7	6.03	47.72	3.87	5975	5112	8555	12574	331	86.1	31055	610	144	57471	24	41.5	403	20	23.4	1	4
vei1019	vei	vei1019	sed	441.8	15.53	16.25	2.79	0.28	16.23	920	807	44.43	31.33	4.39	18.87	3.73	12	1691	0.9	0.14	0.1	1	1019	6.62	5.87	43.45	3.62	4925	4499	7078	12149	243	68.9	29091	375	123	56651	21.9	50.4	504	20	20.1	1	4
vie1075	vie	vie1074	ult	448.8	7.62	12.79	4.51	0.06	7.93	290	301	29.27	125.38	34.33	8.83	2.14	7.92	1376	0.9	0.14	0.1	0.9	1075	7.7	6.48	9.42	0.71	7360	86158	620	149	24.4	37743	115659	3236	2609	22570	6	210	119	16.6	357	3	5
vie1076	vie	vie1074	ult	461	9.28	10.43	3.24	0.1	5.15	343	578	29.85	142.28	51.91	7.31	4.53	5.57	1499	0.9	0.14	0.1	0.9	1075	7.7	6.48	9.42	0.71	7360	86158	620	149	24.4	37743	115659	3236	2609	22570	6	210	119	16.6	357	3	5
vie1152	vie	pan1146	ult	451.3	8.13	29.6	2.48	0.16	6.49	296	6	290.27	124.17	57.32	47.4	2.3	6.14	2334	0.9	572	0.1	3	1146	6.59	5.84	76.26	4.42	17467	96761	2308	678	124	3645	101987	1613	3197	22273	19.6	62.6	477	9.89	190	3	5
vie1167	vie	vie1167	ult	440.5	7.44	27.54	1.16	0.08	6.21	239	1	53.92	366.29	28.21	10.11	1.59	5.19	1167	0.9	0.5	0.14	0.62	1167	5.05	4.49	56.65	2.49	1332	4714	88.6	122	87.8	26093	373437	2334	3550	39174	17.1	240	845	57.8	393	3	5
vie1168	vie	vie1167	ult	447.5	7.25	18.76	1.45	0.09	9.11	265	5	234.24	278.74	26.68	91.7	5.14	13.87	1987	0.9	622	0.14	0.62	1167	5.05	4.49	56.65	2.49	1332	4714	88.6	122	87.8	26093	373437	2334	3550	39174	17.1	240	845	57.8	393	3	5
vie1174	vie	gla1173	ult	439.6	6.78	20.74	2.79	2.38	4.66	171	2	126.31	302.73	46.51	4.88	1.69	7.11	1196	0.9	551	0.14	0.62	1173	6.62	6.21	44.1	2.81	1661	16323	125	125	99	18297	389849	5997	7962	21667	30.8	252	641	68.7	847	3	5
yah1142	yah	yah1142	sed	415.4	13.32	22.1	2.83	0.91	16.92	750	1	80.18	34.44	14.77	23.54	4.88	9.83	2570	0.9	0.43	0.1	1	1142	6.45	5.3	29.93	2.45	4029	9361	17877	13196	524	103	58008	964	62.9	85831	27.8	63.2	338	9.84	38	3	5
yah1143	yah	yah1143	sed	419	10.48	27.21	4.14	2.19	7.94	353	757	46.16	79.82	12.31	6.95	4.58	6.18	1512	0.9	0.43	0.1	1	1143	5.64	4.52	35.09	3.06	2627	6578	20629	7724	511	89.5	51508	955	50.7	82982	25.4	75.5	556	5	35.8	3	5
yah1144	yah	yah1144	sed	439	9.99	25.92	3.61	2	3.19	385	938	82.34	180.8	16.85	101.52	9.01	8.3	1775	0.9	0.43	0.1	1	1144	4.94	3.66	35.67	3.11	1335	5754	17532	6197	501	98.8	55440	719	58.3	83881	27.8	142	338	5	36.2	3	5
yah1145	yah	yah1144	sed	428.5	12.51	14.24	3.59	1.33	12.11	502	885	53.59	86.18	6.35	38.7	4.89	8.56	1919	0.9	0.43	0.1	1	1144	4.94	3.66	35.67	3.11	1335	5754	17532	6197	501	98.8	55440	719	58.3	83881	27.8	142	338	5	36.2	3	5
yah1198	yah	yah1200	sed	427.3	12.84	27.66	1.82	1.88	10.25	896	2	100.34	21.63	6.25	70.29	5.69	8.33	1567	0.9	0.5	0.14	0.62	1200	6.93	6.27	84.17	7.54	10924	5931	5539	7334	588	324	36293	2536	851	46312	40.9	91.1	772	11.8	57	3	5
yah1199	yah	yah1200	sed	437.2	13.95	18.35	2.71	2.37	7.78	569	2	74.49	59.11	28.1	49.04	3.61	7.46	1333	0.9	0.5	0.14	0.62	1200	6.93	6.27	84.17	7.54	10924	5931	5539	7334	588	324	36293	2536	851	46312	40.9	91.1	772	11.8	57	3	5
yah1200	yah	yah1200	sed	413.5	13.23	22.79	1.73	2.24	13.99	929	2	72.05	27.62	6.1	42.25	5.56	8.95	1459	0.9	0.5	0.14	0.62	1200	6.93	6.27	84.17	7.54	10924	5931	5539	7334	588	324	36293	2536	851	46312	40.9	91.1	772	11.8	57	3	5
