leaf_sample	species	assoc_soil_sample	soil_type	C_leaf	N_leaf	Ca_leaf	Mg_leaf	Na_leaf	K_leaf	P_leaf	Cr_leaf	Fe_leaf	Mn_leaf	Ni_leaf	Al_leaf	Cu_leaf	Zn_leaf	S_leaf	Pb_leaf	Co_leaf	Cd_leaf	Mo_leaf	assoc_leaf_sample	H2O_pH_soil	Kcl_pH_soil	C_soil	N_soil	Ca_soil	Mg_soil	Na_soil	K_soil	P_soil	Cr_soil	Fe_soil	Mn_soil	Ni_soil	Al_soil	Cu_soil	Zn_soil	S_soil	Pb_soil	Co_soil	Cd_soil	Mo_soil
fla1086	fla	fla1082	sed	409.8	11.52	23.51	4.42	0.38	10.55	502	180	349.55	573.1	6.66	86.89	3.5	19.46	1632	0.9	140	0.1	0.9	1082	4.58	3.49	41.88	3.23	1570	6081	6117	19343	468	74.9	42048	255	28.4	104023	29	67.7	385	5	23.1	3	5
gla1150	gla	gla1153	sed	409.2	8.4	41	2.4	0.56	9.61	316	8	394.91	29.49	21.48	73.34	3.27	6.14	1910	0.9	724	0.1	1	1153	6.59	6.12	307.67	15.47	25796	26744	900	582	316	2469	44211	1272	1445	7841	17.6	67.7	1309	5	91.5	3	5
gla1151	gla	gla1155	sed	419.9	8.38	38.7	2.45	1.33	12.3	309	6	350.92	39.1	33.1	67.69	4.53	6.19	3011	0.9	725	0.1	1	1155	6.87	6.43	289.31	12.88	33661	24925	937	586	249	2393	45356	1146	1695	8575	21.1	48.3	1120	7.22	102	3	5
gla1153	gla	gla1153	sed	412.8	9.87	32.22	2.06	0.24	14.25	302	8	500.58	35.48	30.02	108.92	2.39	5.91	2582	0.9	807	0.1	992	1153	6.59	6.12	307.67	15.47	25796	26744	900	582	316	2469	44211	1272	1445	7841	17.6	67.7	1309	5	91.5	3	5
gla1155	gla	gla1155	sed	442.1	8.01	22.82	2.07	0.18	6.73	253	5	286.61	58.99	21.51	45.15	2.22	6.99	1715	0.9	569	0.1	1	1155	6.87	6.43	289.31	12.88	33661	24925	937	586	249	2393	45356	1146	1695	8575	21.1	48.3	1120	7.22	102	3	5
gla1156	gla	gla1155	sed	438.8	9.46	22.82	2.38	0.25	11.12	286	10	633.83	136.91	40.22	127.71	1.41	5.93	2075	0.9	966	0.1	1	1155	6.87	6.43	289.31	12.88	33661	24925	937	586	249	2393	45356	1146	1695	8575	21.1	48.3	1120	7.22	102	3	5
gla1171	gla	gla1176	ult	407.6	7.9	29.91	4.21	1.39	12	279	1	69.88	15.5	14.55	9.74	2.6	4.86	1957	0.9	0.5	0.1	0.62	1176	7.12	6.63	40.92	2.51	954	26838	142	108	109	16272	377433	4518	8045	22003	31.8	246	522	45.8	653	3	5
gla1172	gla	gla1172	ult	418.4	8.78	18.12	4.69	1.87	9.86	303	3	157.81	24.31	24.63	16.41	5.8	4.57	2049	0.9	566	0.1	0.62	1172	7.15	6.58	21.85	1.09	925	24026	124	99.5	110	16593	394828	5210	9454	21815	31.9	258	302	55.9	737	3	5
gla1173	gla	gla1173	ult	398.7	10.12	48.17	4.3	1.51	6.51	310	2	145.3	125.48	84.8	5.98	5.43	5.2	1747	0.9	529	0.1	0.62	1173	6.62	6.21	44.1	2.81	1661	16323	125	125	99	18297	389849	5997	7962	21667	30.8	252	641	68.7	847	3	5
gla1175	gla	gla1175	ult	414.6	8.86	36.65	3.2	2.34	4.83	239	1	68.44	59.67	55.33	5	4.77	4.17	1104	0.9	0.5	0.14	0.62	1175	6.43	6.01	59.6	2.74	3073	8578	97.8	177	80.4	11188	368744	6098	10824	15152	41.7	233	419	61.8	823	3	5
gla1176	gla	gla1176	ult	420.3	8	29.53	2.29	1.46	7.99	325	716	51.08	32.72	27.91	8.28	7.1	5.6	1127	0.9	0.5	0.14	0.62	1176	7.12	6.63	40.92	2.51	954	26838	142	108	109	16272	377433	4518	8045	22003	31.8	246	522	45.8	653	3	5
heq1023h	heq	heq1023h	ult	439.9	9.3	18.49	4.31	0.06	8	381	686	35.19	26.23	93.5	5.48	10.15	7.57	1417	0.9	0.14	0.1	0.9	1023h	6.61	5.95	161.03	9.64	11907	28733	1660	813	260	7220	90434	3425	3002	14634	9.39	108	820	20	407	1.12	4
heq1024	heq	heq1024	ult	442.7	10.76	12.78	3.58	0.15	10.87	494	1	51.97	51.21	56.51	10.98	4.98	7.45	1504	0.9	171	0.1	0.9	1024	5.86	5.09	113.95	7.2	5250	30498	1118	1275	230	12582	127255	2416	3480	16467	4.84	139	563	20	477	1	4
heq1025	heq	heq1025	ult	445.7	10.02	17.9	3.4	0.11	7.54	423	1	45.48	31.09	57.82	8.13	5.3	5.01	1211	0.9	0.14	0.1	0.9	1025	6.54	5.62	63.84	4.19	1673	46916	469	611	130	10941	141805	3984	4804	14711	1	129	359	20	566	1	4
heq1026	heq	heq1026	ult	444.4	10.66	13.11	2.46	0.07	10.94	400	839	38.31	19.02	48.74	7.03	4.42	6.03	1295	0.9	0.14	0.1	0.9	1026	6.55	5.82	127.17	8.06	5963	42227	1636	649	234	17583	106914	2298	3820	15963	12.3	115	719	20	342	1	4
heq1027	heq	heq1027	ult	447.4	10.76	7.94	2.66	0.3	14.11	461	286	24.82	30.9	22.71	4.18	2.89	6.6	937	0.9	0.14	0.1	0.9	1027	6.61	5.82	92.05	5.83	5069	44318	885	1014	198	12091	125317	3234	4024	15421	18.9	137	500	20	491	1	4
imp1119	imp	imp1119	sed	420.6	12.85	44.09	2.19	0.35	9.4	635	323	43.96	24.41	6	17.14	1.41	6.19	1588	0.9	167	0.1	1	1119	7.66	7.2	200.13	17.95	37728	19368	5161	2722	1557	2346	35557	1139	380	21628	13.3	52.4	1490	45.4	49	3	5
imp1120	imp	imp1120	sed	420	14.28	26.54	2.55	0.22	13.11	707	446	34.06	14.36	2.24	10.93	1.19	6.95	1447	0.9	0.14	0.1	678	1120	7.41	6.98	97.01	7.83	25657	31973	6462	2772	834	3740	49421	888	458	25467	9.98	54.9	1456	6.76	56.3	3	5
imp1121	imp	imp1121	sed	421.7	12.35	17.65	2.37	1.67	17.45	821	3	136.17	12.2	6.45	108.1	2.01	4.91	1549	0.9	140	0.1	568	1121	6.86	6.41	185.1	13.5	25429	23135	5365	3292	938	1459	32717	715	343	20795	13.6	41.2	1298	5	40	3	5
imp1122	imp	imp1122	sed	431.8	13.82	16	2.41	0.79	11.29	811	670	70.87	13.69	4.59	32.97	1.78	8.11	1713	0.9	0.14	0.1	502	1122	7.14	6.7	160.14	12.08	29206	23476	5369	2665	913	1615	32575	689	331	20776	14.4	32	1321	6.44	37.9	3	5
imp1123	imp	imp1123	sed	405	13.97	15.56	2.1	0.65	15.78	1095	2	62.82	13.31	5.27	47.55	1.95	9.68	2340	0.9	0.14	0.1	324	1123	7.48	7.07	107.01	8.75	29044	30596	6318	2805	751	2067	38656	737	411	23256	10.3	40.9	1038	13.7	45.4	3	5
lab1033	lab	lab1033	sed	433.4	11.49	16.29	2.63	0.57	10.53	891	518	43.29	7.73	9.65	22.1	3.48	6.52	2136	0.9	0.14	0.1	0.9	1033	6.25	5.25	26.43	2.08	13703	20982	9517	6367	349	2976	75825	2094	856	57491	47.8	74.6	282	20	122	1	4
lab1034	lab	lab1034	sed	431.6	10.81	15.71	2.39	0.44	14.22	1129	827	50.84	12.58	6.68	21.45	4.38	9.47	1845	0.9	0.14	0.1	0.9	1034	6.33	4.92	15.46	1.35	13325	20001	9276	6022	261	3126	73258	2965	600	59343	53.8	112	236	23.5	98.3	1	4
lab1035	lab	lab1034	sed	448.3	12.77	14.82	2.68	0.65	11.55	841	608	58.81	11.98	13.73	34.8	4.36	7.08	2057	0.9	0.14	0.1	3	1034	6.33	4.92	15.46	1.35	13325	20001	9276	6022	261	3126	73258	2965	600	59343	53.8	112	236	23.5	98.3	1	4
lab1036	lab	lab1036	sed	435.5	12.7	10.59	2.75	0.98	15.62	1060	1	53.59	16.1	14.62	29.08	4.95	8.02	1925	0.9	0.14	0.1	927	1036	6.46	5.02	10.5	0.83	15090	22462	8739	6362	289	2344	73639	1547	596	53462	45.4	92.5	229	20	82.6	1	4
lab1063	lab	lab1063	sed	440.5	13.04	11.11	2.17	0.49	12.28	1105	2	87.14	26.9	5.87	52.21	4.75	10.84	2257	0.9	281	0.1	0.9	1063	4.46	3.18	7.89	1.21	4807	7839	7824	25931	312	219	45620	284	39.6	89932	21.8	72.5	142	20	21.3	1	4
lab1064	lab	lab1063	sed	423.8	13.06	12.05	2.21	0.44	17.29	1402	486	69.49	30.44	7.36	12.99	3.12	8.13	2254	0.9	0.14	0.1	0.9	1063	4.46	3.18	7.89	1.21	4807	7839	7824	25931	312	219	45620	284	39.6	89932	21.8	72.5	142	20	21.3	1	4
lab1065	lab	lab1065	sed	418.1	14	3.34	1.66	0.31	17.44	1581	84	29.57	14.32	6.87	7.79	5.31	14.97	1973	0.9	0.14	0.1	0.9	1065	5.36	3.95	7.6	0.52	3900	8536	6037	5365	273	156	27780	316	70.8	39592	19.1	49.5	109	5	18.6	3	5
lab1066	lab	lab1065	sed	449.7	11.78	8.94	1.88	0.85	7.71	815	138	40.12	29.37	12.42	29.3	5.52	8.8	1886	0.9	375	0.1	0.9	1065	5.36	3.95	7.6	0.52	3900	8536	6037	5365	273	156	27780	316	70.8	39592	19.1	49.5	109	5	18.6	3	5
lab1067	lab	lab1065	sed	443.6	11.24	21.58	1.92	2.12	6.3	678	920	141.63	55.74	14.36	83.38	8.04	9.33	1947	0.9	277	0.1	0.9	1065	5.36	3.95	7.6	0.52	3900	8536	6037	5365	273	156	27780	316	70.8	39592	19.1	49.5	109	5	18.6	3	5
lab1068	lab	lab1063	sed	443.2	10.15	17.59	2.91	0.75	6.31	683	476	76.44	76.06	14.36	50.59	3.94	8.14	2100	0.9	260	0.1	0.9	1063	4.46	3.18	7.89	1.21	4807	7839	7824	25931	312	219	45620	284	39.6	89932	21.8	72.5	142	20	21.3	1	4
min1093	min	min1093	sed	418.6	13.96	21.77	2.62	11.05	3.75	602	476	40.56	59.26	5.05	33.64	3.53	6.95	2685	0.9	259	0.1	0.9	1093	5.81	5.15	123.08	11	19506	9590	6359	1480	698	263	68387	4294	107	53612	81	64.8	830	5	107	3	5
min1094	min	min1094	sed	412.9	13.23	22.86	2.89	8.04	4.18	710	1	45.42	78.21	4.87	19.1	4.81	8.9	2112	0.9	163	0.1	0.9	1094	6.19	5.2	49.45	4.66	7956	8166	3959	761	523	303	83433	9921	147	61456	88	88.8	470	8.53	309	3	5
min1095	min	min1095	sed	410.1	12.68	28.32	2.58	8.15	4.91	726	747	43.96	76.04	5.55	29.24	4.9	12.75	2490	0.9	0.14	0.1	0.9	1095	6.03	5.3	56.56	5	8960	9210	5290	842	618	294	84243	6959	142	64918	85	89.8	468	11.1	180	3	5
min1096	min	min1096	sed	404.8	12.33	22.9	3.03	8.96	3.81	766	621	49.5	87.11	6.64	24.19	3.86	7.08	3794	0.9	0.14	0.1	0.3	1096	6.01	5.3	140.66	9.79	11569	8551	4587	813	638	196	61461	3677	89.5	49368	68.6	68.2	758	5	109	3	5
min1097	min	min1097	sed	408	14.54	22.75	2.56	10.83	3.36	737	607	41.64	34.81	4.8	12.67	5.12	10.04	3489	0.9	0.14	0.1	0.3	1097	6.23	5.28	65.35	5.98	11659	9282	5778	1345	625	294	80372	6079	150	62244	88.9	101	622	5	194	3	5
min1125	min	min1125	sed	412.5	12.74	19.12	2.41	3.95	11.5	789	601	36.5	40.83	3.51	24.36	4.81	9.7	2607	0.9	0.14	0.1	0.3	1125	6.67	5.83	78.83	6.27	14852	7186	2237	931	412	204	73210	8161	133	57134	90.4	67	1255	51.7	288	3	5
min1132	min	min1133	sed	410.9	13.68	30.5	2.71	2.09	11.47	717	0.55	32.38	44.56	5.52	5	4.91	7.42	3214	0.9	0.43	0.1	1	1133	7.05	5.91	44.2	3.52	16576	8870	5184	1103	302	236	77118	8504	131	62589	84.1	85.1	533	5.55	344	3	5
min1133	min	min1133	sed	420.9	13.32	26.82	2.4	3.19	7.91	721	0.55	29.52	38.9	3.5	34.78	6.56	7.36	2222	0.9	0.43	0.1	1	1133	7.05	5.91	44.2	3.52	16576	8870	5184	1103	302	236	77118	8504	131	62589	84.1	85.1	533	5.55	344	3	5
pan1146	pan	pan1146	ult	429.6	8.99	25.02	3.73	1.93	7	286	27	1970.1	41.3	72.67	412.34	7.19	6.76	2229	0.9	3	0.1	1	1146	6.59	5.84	76.26	4.42	17467	96761	2308	678	124	3645	101987	1613	3197	22273	19.6	62.6	477	9.89	190	3	5
pan1147	pan	pan1146	sed	423.7	7.85	38.07	2.72	1.75	7.69	294	31	1956.9	47.95	90.79	476.13	9.71	11.56	3033	0.9	3	0.1	1	1146	6.59	5.84	76.26	4.42	17467	96761	2308	678	124	3645	101987	1613	3197	22273	19.6	62.6	477	9.89	190	3	5
pan1148	pan	pan1146	sed	436.1	8.26	33.65	1.62	0.95	8.83	290	9	556.18	39.38	29.81	121.02	4.32	8.64	2367	0.9	891	0.1	1	1146	6.59	5.84	76.26	4.42	17467	96761	2308	678	124	3645	101987	1613	3197	22273	19.6	62.6	477	9.89	190	3	5
pan1149	pan	pan1149	sed	423.3	8.49	27.67	2	1.58	11.2	309	18	915.6	39.27	33.23	199.82	4.71	10.17	2277	0.9	2	0.1	1	1149	7.09	6.68	314.2	13.91	39577	18686	883	650	246	1542	32344	754	1108	6837	21.4	37.6	1057	5	63.7	3	5
pan1154	pan	pan1149	sed	423.6	8.27	35.13	1.87	1.6	9.64	376	9	563.93	27.46	25.79	110	4.65	5.66	2329	0.9	1	0.1	1	1149	7.09	6.68	314.2	13.91	39577	18686	883	650	246	1542	32344	754	1108	6837	21.4	37.6	1057	5	63.7	3	5
pan1177	pan	pan1177	sed	431.5	10.33	17.79	4.08	2.9	7.27	520	714	55.31	110.44	10.04	23.84	3.82	8.41	2352	0.9	0.5	0.14	0.62	1177	5.51	4.9	73.22	6.43	3839	1817	504	2456	890	63.7	17411	547	94.9	28655	37.3	63.7	933	8.04	17.7	3	5
pan1178	pan	pan1177	sed	431.4	15.7	9.5	2.74	2.53	19.1	719	2	104.09	53.91	14.6	65.15	5.04	7.31	1878	0.9	0.5	0.14	0.62	1177	5.51	4.9	73.22	6.43	3839	1817	504	2456	890	63.7	17411	547	94.9	28655	37.3	63.7	933	8.04	17.7	3	5
pan1179	pan	pan1179	sed	437.3	11.47	17.77	3.27	2.15	6.52	550	997	55.81	164.81	18.38	38.03	4.18	9.41	1894	0.9	0.5	0.14	0.62	1179	5.46	4.91	70.41	6.13	3303	1821	522	2431	816	66.4	16519	531	108	25200	33.3	58.7	810	5	14.1	3	5
pan1180	pan	pan1180	sed	436	12.19	16.23	1.78	0.64	15.74	693	486	55.49	60.65	6.76	27.65	5.05	9.11	1625	0.9	0.5	0.14	0.62	1180	6.42	5.91	98.58	8.17	6829	2639	569	2620	846	81.9	14254	623	116	22833	25.6	72.5	889	5	13	3	5
pan1181	pan	pan1181	sed	426.2	11.53	15.92	2.73	2.8	12.62	620	813	61.31	103.33	12.44	50.03	3.85	8.63	2474	0.9	0.5	0.14	0.62	1181	5.98	5.38	75.89	6.61	4210	2829	621	3580	891	124	20706	522	142	36083	25.9	63.9	1012	9.02	16.3	3	5
pan1183	pan	pan1183	sed	425.7	14.34	17.68	2.78	0.6	15.66	784	1	77.5	39.49	40.05	12.99	2.2	8.07	1449	0.9	0.5	0.14	0.62	1183	6.1	5.6	146.17	13.4	7760	4833	506	3183	880	366	26132	2080	1325	20936	28.7	94.5	1195	10.5	70.7	3	5
pus1113	pus	pus1113	sed	449.1	11.23	27.81	1.86	0.26	9.44	418	2	81.58	18.92	8.47	15.52	4.21	5.54	2057	0.9	0.14	0.1	1	1113	8.01	7.47	138.13	9	148098	16575	430	1402	325	6913	95457	2616	2120	13957	11.3	128	1370	13.1	215	3	5
pus1114	pus	pus1114	sed	450.4	11.63	20.62	1.27	0.06	12.54	309	662	45.18	19.79	7.09	6	5.71	5.42	1551	0.9	0.14	0.1	896	1114	7.98	7.43	151	7.82	171863	12270	369	1494	262	4656	79315	1946	2122	11932	9.51	79	1006	11	172	3	5
pus1115	pus	pus1118	sed	447.9	9.79	19.76	1.22	0.25	13.28	367	491	50.07	20.87	5.68	14.49	4.88	7.89	1784	0.9	0.14	0.1	294	1118	8.22	7.58	107.19	3.83	235960	11693	264	1215	200	5475	70945	1587	1414	12295	6.2	78.6	614	5	142	3	5
pus1116	pus	pus1113	sed	446.1	11.28	20.49	1.87	0.09	9.47	359	736	50.46	20.44	8.5	8	4.55	8.44	1907	0.9	0.14	0.1	742	1113	8.01	7.47	138.13	9	148098	16575	430	1402	325	6913	95457	2616	2120	13957	11.3	128	1370	13.1	215	3	5
pus1117	pus	pus1114	sed	431.6	13.03	22.32	1.84	0.51	13.75	438	293	30.54	14.36	7.13	4	4.31	6.83	1570	0.9	0.14	0.1	393	1114	7.98	7.43	151	7.82	171863	12270	369	1494	262	4656	79315	1946	2122	11932	9.51	79	1006	11	172	3	5
pus1118	pus	pus1118	sed	463.1	11.41	13.78	1.87	0.1	9.53	487	1	57.75	15.92	11.95	10.76	3.79	6.17	1757	0.9	0.14	0.1	4	1118	8.22	7.58	107.19	3.83	235960	11693	264	1215	200	5475	70945	1587	1414	12295	6.2	78.6	614	5	142	3	5
rev1069	rev	rev1069	ult	436.3	8.43	18.71	2.25	0.1	8.19	447	1	44.65	23.84	19.8	17.8	5.72	8.85	1431	0.9	0.14	0.1	0.9	1069	6.82	5.77	37.19	2.15	11210	71693	771	279	53.5	36530	127670	3690	3520	20886	6	107	237	8	444	3	5
rev1070	rev	rev1070	ult	444.5	8.79	15.7	1.52	0.15	9.24	318	786	38.28	22.92	81.32	8.62	8.18	7.98	1035	0.9	0.14	0.1	0.9	1070	6.87	5.75	64.26	3.97	13409	64625	1356	464	96.8	16531	130334	4522	4594	19723	6.24	47.2	376	9.75	514	3	5
rev1071	rev	rev1071	ult	431.1	8.79	23.01	1.8	0.05	11.3	382	1	28.55	19.42	17.11	6.61	3.61	6.36	1335	0.9	0.14	0.1	3	1071	7	5.97	57.98	3.27	14714	63452	1404	603	88	21212	117808	3779	3743	19705	7.38	110	778	9.96	441	3	5
rev1072	rev	rev1072	ult	447.1	7.94	14.32	1.73	0.59	6.21	349	558	21.29	20.84	26.62	4.65	3.61	5.14	1144	0.9	0.14	0.1	0.9	1072	6.84	5.62	39.97	2.51	14025	62002	1457	434	78	26142	132569	4216	3762	21939	5.79	100	252	7	516	3	5
rev1073	rev	rev1073	ult	426.4	9.95	21.73	3.07	0.16	8.82	640	946	26.98	41.96	18.32	8.16	10.55	11.31	1361	0.9	0.14	0.1	0.9	1073	8.02	6.79	8.12	0.62	12301	87635	959	201	37.6	28449	150264	8013	3489	22874	6	166	150	10.3	761	3	5
ruf1157	ruf	ruf1157	ult	439	9.67	25.99	2.05	2.46	5.48	233	17	620.41	127.46	51.77	41.2	9.13	5.69	3333	0.9	2	0.1	1	1157	4.84	4.36	56.16	3.33	627	6571	96.7	75.6	166	34556	429740	2150	3312	33628	24.5	240	925	59.6	208	3	5
ruf1158	ruf	ruf1158	ult	448.2	10.11	16.65	1.55	2.39	8.73	261	7	267.22	72.09	57.41	18.56	4.76	4.64	2929	0.9	487	0.1	1	1158	4.79	4.22	50.88	3.02	426	6984	83.3	73	121	26848	400321	1769	2961	28529	12.1	246	1036	62.2	200	3	5
ruf1159	ruf	ruf1159	ult	433.2	10.72	28.24	2.37	1.65	6.55	248	8	311.08	119.67	103.07	21.03	3.74	5.61	2666	0.9	1	0.1	1	1159	5.02	4.58	127.51	8	2799	5189	222	133	159	34449	339004	3069	3631	24425	19	128	1211	38.4	242	3	5
ruf1160	ruf	ruf1158	ult	442.6	9.91	24.55	2.12	1.37	8.09	301	8	324.14	77.41	49.93	14.64	4.88	5.88	2927	0.9	555	0.1	1	1158	4.79	4.22	50.88	3.02	426	6984	83.3	73	121	26848	400321	1769	2961	28529	12.1	246	1036	62.2	200	3	5
ruf1161	ruf	ruf1159	ult	428	10.15	30.49	1.8	1.34	7.96	234	6	223.6	43.54	20.98	17.16	5.46	4.89	2676	0.9	0.43	0.1	1	1159	5.02	4.58	127.51	8	2799	5189	222	133	159	34449	339004	3069	3631	24425	19	128	1211	38.4	242	3	5
ruf1169	ruf	ruf1169	ult	437.4	9.05	19.75	3.76	1.14	6.35	327	13	718.55	28.75	49.71	49.3	4.87	4.7	3168	0.9	1	0.1	0.62	1169	6.86	6.32	35.12	2.3	1172	14760	80.5	91	100	13268	388985	4837	9450	19171	38.5	248	453	49.5	725	3	5
ruf1170	ruf	ruf1169	ult	409.8	8.45	29.54	2.74	4.67	16.59	331	10	583.63	34.28	29.93	38.14	6.31	4.05	3065	914	992	0.1	0.62	1169	6.86	6.32	35.12	2.3	1172	14760	80.5	91	100	13268	388985	4837	9450	19171	38.5	248	453	49.5	725	3	5
spn1184	spn	spn1184	ult	433.4	7.63	20.45	3.45	0.77	7.88	237	892	22.9	49.77	82.87	13.38	5.08	6.64	1440	0.9	0.5	0.14	0.62	1184	7.01	6.06	56.65	3.41	12427	68450	1006	643	51.8	11446	176635	4425	5082	20854	22.8	142	322	26.9	558	3	5
spn1186	spn	spn1186	ult	409.9	7.18	39.55	5.35	0.37	16.33	293	1	26.13	32.38	69.36	19.99	6.26	6.89	1563	0.9	0.5	0.14	0.62	1186	6.87	6.34	146.28	7.75	19272	49531	550	791	141	7405	149643	2431	4138	8512	6	119	725	11.5	361	3	5
